Label,MaxLongestRepeatingCharacterSubject,MinCharacterDiversitySubject,RatioNonAlphaNumToAllSubject,RatioDigitToAllSubject,RatioUpperToAllSubject,RatioUpperLowerSubject,CountCharsSubject,AllCountCapWordSubject,CountCapWordSubject,AllCountDigitWordSubject,SingleCharWordsSubject,WordsMaxCharSubject,AlphaOnlySubject,SingleDigitWordsSubject,AlphaNumericSubject,SingleLetterWordsSubject,MultipartMixedUnique,MultipartAlternativeUnique,TextPlainUnique,Year,Month,CountOfTo,Day,Hour,Minute,Second,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric,UniqueContentTypesAttachment,CountOfAttachments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,1,1.348006155,0,0,0.5,1,24,0,4,0,1,9,4,0,0,0,0,0,1,2002,8,1,4,17,21,16,0.506578947,108,14,138.5041551,4.625244218,0.090909091,1913.961448,336,47,1.148471822,0,0.5,1,1,0.5,24.25,27.86666667,6.466666667,1.1,30,2,57,0,5,0,4,27,171,51,27,8,8,62,5,29,966,432,4,6,0,6,0,45,9,241,0,20,5,40,225,0,3,6,1,0,186,1011,0,427,10,116,4.207236842,81,1604,55,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.316074013,0.4,0,1,0.125,25,1,2,0,1,9,3,0,0,0,0,0,1,2002,8,1,4,17,31,38,0.737226277,78,18,77.78784165,4.46258662,0.178217822,2160.513363,92,69,1.138657634,0,0.5,1,1,3,25.75,31.53333333,6.866666667,1,15,2,35,0,1,0,3,25,79,27,25,4,4,27,1,16,531,131,1,1,1,5,2,43,9,111,0,4,3,8,102,0,0,0,1,0,99,574,0,287,12,12,4.474452555,47,899,27,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.430969081,0.4,0,0.6,0.2,25,0,1,0,0,9,3,0,0,0,0,0,1,2002,8,1,4,18,37,58,0.606164384,134,26,101.0977669,4.828781016,0.146892655,2336.710286,316,69,1.138657634,0,0.5,1,1,3,24.1,41.82142857,8.571428571,1.107142857,28,3,88,0,1,0,6,59,186,39,59,3,10,42,1,36,1195,472,1,5,0,6,2,96,17,253,0,4,2,15,227,0,0,0,1,0,238,1291,0,409,12,13,4.599315068,96,1751,67,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,2,1.379729661,0.4,0,1,1,37,1,7,0,1,5,7,0,0,0,0,0,1,2002,8,1,4,19,8,38,0.704918033,107,8,73.45695602,4.651410537,0.062015504,3054.653244,195,47,1.173855144,0,0.5,1,1,1,22.71428571,35.52380952,7.476190476,1,21,1,67,0,1,0,2,36,123,33,36,6,7,17,1,19,783,299,1,3,0,3,0,42,9,166,0,3,3,14,151,0,0,1,1,0,153,825,0,243,11,27,4.792349727,57,1127,39,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,1,1.276518007,0,0,0.5,1,20,0,2,0,1,9,3,0,0,0,0,0,1,2002,8,1,4,19,29,4,0.596153846,115,24,96.15384615,4.725541037,0.15483871,2154.764132,321,47,1.209191097,0,0.5,1,1,1,13.71428571,27.51851852,7.074074074,1.148148148,27,3,92,0,1,0,3,24,173,41,24,3,14,42,1,34,893,548,0,3,2,11,1,24,10,222,0,4,2,30,183,0,0,4,1,0,189,917,0,326,11,14,4.069230769,96,1297,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.320469248,0.4,0,0.6,1,46,0,2,0,1,9,8,0,0,0,0,0,1,2002,8,1,4,19,29,25,0.706586826,89,19,61.67306106,4.618759018,0.161016949,2082.494034,164,69,1.138657634,0,0.4,1,1,3,26.2,31.5,7.277777778,1.111111111,18,5,65,0,1,0,3,25,113,32,25,1,5,29,1,22,660,270,1,4,1,9,2,43,4,143,1,4,3,13,137,0,0,0,1,0,130,703,0,314,16,4,4.520958084,61,1052,28,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.320469248,0.4,0,0.6,1,46,0,2,0,1,9,8,0,0,0,0,0,1,2002,8,1,4,19,39,38,0.719008264,69,12,92.88982993,4.293123613,0.137931034,2317.96543,126,69,1.138657634,0,0.5,1,1,3,18.2,27,7,1.153846154,13,3,49,0,1,0,3,17,79,26,17,1,5,22,1,13,424,196,1,1,2,4,2,35,2,100,0,3,2,8,94,0,0,0,1,0,90,459,0,255,13,4,4.123966942,53,743,14,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.379729661,0.4,0,0.6,0.166666667,47,0,1,0,1,9,9,0,0,1,0,0,1,2002,8,1,4,19,39,39,0.624489796,114,18,73.3027905,4.785977657,0.117647059,2158.185913,238,69,1.138657634,0,0.5,1,1,3,24.25,36.71428571,9.238095238,1.095238095,21,3,100,0,1,0,6,31,163,39,31,5,8,43,1,32,812,400,1,5,0,11,2,55,12,204,0,3,0,13,213,0,0,0,1,0,189,867,0,395,12,26,3.795918367,90,1326,28,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.320469248,0.4,0,0.6,1,46,0,2,0,1,9,8,0,0,0,0,0,1,2002,8,1,4,19,50,0,0.634615385,102,15,101.2389053,4.603336008,0.113636364,2348.516755,231,69,1.138657634,0,0.5,1,1,3,15.1,28.59090909,6.863636364,1.227272727,22,2,74,0,3,0,3,35,125,40,35,1,10,42,3,20,762,348,1,5,1,9,2,54,6,171,0,7,10,21,154,0,0,0,1,0,150,816,0,361,16,5,4.259615385,84,1221,29,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ham,4,1.291549665,0.4,0,0.6,0.111111111,32,0,1,0,0,10,3,0,0,0,0,0,1,2002,8,1,4,19,50,3,0.462063086,401,64,87.59172893,5.59812414,0.118081181,2716.657701,1796,69,1.138657634,0,0.5,1,1,3,24.975,47.86956522,10.83695652,1.206521739,92,8,504,0,1,0,3,126,868,127,126,17,40,165,1,121,4411,2758,1,9,3,42,3,144,64,1027,0,6,0,42,1061,0,0,0,1,0,980,4555,0,1367,13,67,3.981244672,443,6115,221,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
